TCP,ESTC ,text_name,html_name,serendipFilename,Title,Title 30 Char or fewer,Author,Date,Physical Description,Phys Desc Notes,Derived Date,Publication Place,Publisher,Keywords,Call Number,"Verse, Prose, Mixed ",Helsinki Prototypical Text Category,Non-Helsinki Prototypical,Notes
A47854,R16045,A47854.headed.txt,a47854headed_Docuscope.html,A47854_1679_Thefreebornsubjector,"The free-born subject, or, The Englishmans birthright asserted against all tyrannical vsurpations either in church or state",FreeBornSubject,"L'Estrange, Roger, Sir, 1616-1704.",1679,4°,,1679,London :,"Printed for Henry Brome ...,",Citizenship -- England.|Freemen.|Church and state -- England.|Political rights.|Great Britain -- Politics and government.,,prose,IS,ARG,
A48160,R3143,A48160.headed.txt,a48160headed_Docuscope.html,A48160_1694_Alettertoafriendconc,"A letter to a friend concerning a postscript to the Defense of Dr. Sherlock's notion of the Trinity in unity, relating to the Calm and sober enquiry upon the same subject",DefenseOfDrSherlocksTrinity,"Howe, John, 1630-1705.",1694,8°,,1694,London :,"Printed by J. Astwood for Tho. Parkhurst ...,","Sherlock, William, -- 1641?-1707. -- Defence of Dr. Sherlock's notion of a Trinity in unity.|Howe, John, -- 1630-1705. -- Calm and sober enquiry.|Trinity -- Early works to 1800.",,prose,IR,ARG,
A48276,R14979,A48276.headed.txt,a48276headed_Docuscope.html,A48276_1644_ALetterfromGenerallL,"A Letter from Generall Leven, the Lord Fairfax, and the Earl of Manchester, to the committee of both kingdoms, and by them communicated to the Parliament concerning the great victory it hath pleased God to give them over the forces under the command of Pr",LevenFairfaxLetterOfVictory,"Leven, Alexander Leslie, 1580?-1661.|Hatcher, Thomas, 1589?-1677.|Balcarres, Alexander Lindsay, 1618-1659.|Fairfax, Ferdinando Fairfax, 1584-1648.|Manchester, Edward Montagu, 1602-1671.","Iuly 12, 1644.",4°,,1644,London :,"Printed for Edw. Husbands,","Newcastle, William Cavendish, -- Duke of, -- 1592-1676.|Rupert, -- Prince, Count Palatine, -- 1619-1682.|Great Britain -- History -- Civil War, 1642-1649 -- Sources.",,prose,NN,NARR,
A48654,R673,A48654.headed.txt,a48654headed_Docuscope.html,A48654_1683_AListoftheconventicl,"A List of the conventicles or unlawful meetings within the city of London and bills of mortality, with the places where they are to be found as also, the names of divers of the preachers and the several factions they profess.",ListConventiclesBillsMortality,,1683,1°,single-sided,1683,London :,"Printed by Nat. Thompson,",Broadsides -- England -- London -- 17th century,,prose,EX,EX,
A48725,R37940,A48725.headed.txt,a48725headed_Docuscope.html,A48725_1668_Hezekiahsreturnofpra,Hezekiah's return of praise for his recovery by A.L.,HezekiahsReturnOfPraise,"Littleton, Adam, 1627-1694.",1668,4°,,1668,London :,"Printed by E. Cotes for Samuel Tomson ...,","Bible. -- O.T. -- Isaiah XXXVIII, 17-19 -- Sermons.|Sermons, English -- 17th century.",,prose,IR,INST,
A48854,R20281,A48854.headed.txt,a48854headed_Docuscope.html,A48854_1691_Asermonpreachedbefor,"A sermon preached before the Queen at White-Hall, January the 30th being the day of the martyrdom of King Charles the First by the Bishop of St. Asaph, Lord Almoner to Their Majesties.",SermonOnMartyrdomOfKingCharles,"Lloyd, William, 1627-1717.",1691,4°,,1691,London :,"Printed for Thomas Jones ...,","Church of England -- Sermons.|Bible. -- O.T. -- Chronicles, 2nd, XXXV, 24-25 -- Sermons.|Sermons, English -- 17th century.",,prose,IR,INST,
A49313,R233282,A49313.headed.txt,a49313headed_Docuscope.html,A49313_1705_TheLowcountrysoldier,"The Low-country soldier: or, his humble petition at his return into England, after his bold adventures in bloody battels.",LowCountrySoldiersPetition,,[1705?],1/2°,single-sided,1705,[London] :,"Printed for C. Bates at the Sun and Bible in Pye-corner,",,,verse,,,
A49438,R21041,A49438.headed.txt,a49438headed_Docuscope.html,A49438_1700_LuctusbritanniciorTh,"Luctus britannici, or, The tears of the British muses for the death of John Dryden, Esq., late poet laureat to Their Majesties, K. Charles and K. James the Second written by the most eminent hands in the two famous universities, and by several others.",TearsOfMusesForDryden,"Playford, Henry, b. 1657.|Roper, Abel, 1665-1726.",1700,2°,,1700,London :,"Printed for Henry Playford ... and Abel Roper ... and sold by John Nutt ...,","Dryden, John, -- 1631-1700, in fiction, drama, poetry, etc.",,verse,NN,NARR,
A49644,R213944,A49644.headed.txt,a49644headed_Docuscope.html,A49644_1665_Alettertoafriendtouc,"A letter to a friend, touching Dr. Jeremy Taylor's Disswasive from Popery. Discovering above an hundred and fifty false, or wretched quotations, in it.",LetterTouchingJeremyTaylor,A. L.,"Printed in the year, 1665.",4°,,1665,[S.l. :,"s.n.],","Taylor, Jeremy, -- 1613-1667. -- Dissuasive from Popery -- Controversial literature -- Early works to 1800.|Catholic Church -- Apologetic works -- Early works to 1800.",,prose,IR,ARG,
A49745,R31688,A49745.headed.txt,a49745headed_Docuscope.html,A49745_1700_TheLawofejectmentsor,"The Law of ejectments, or, A treatise shewing the nature of ejectione firme the difference between it and trespass, and how to be brought or removed where the lands lie in franchises ... as also who are good witnesses or not in the trial of ejectment ...",LawOfEjectments,,1700,8°,,1700,London :,"Printed for John Deebe ...,",Ejectment -- England.,,prose,EX?,EX?,could be IS/INST. I don't think it's STA because it's a legal treatise or handbook.
A49866,R212811,A49866.headed.txt,a49866headed_Docuscope.html,A49866_1696_Afountainofgardenswa,"A fountain of gardens watered by the rivers of divine pleasure, and springing up in all the variety of spiritual plants; blown up the pure breath into a paradise, sending forth their sweet savours, and strong odours, for soul-refreshing. By Jane Lead.|Fou",FountainOfGardens,"Lead, Jane, 1623-1704.",1696,8°,,1696,London :,"printed and sold by J. Bradford, near Crowder's-Well,",Mysticism -- Early works to 1800.|Spiritual life -- Early works to 1800.|Christian biography -- Early works to 1800.,,mixed,NN,NARR,diary of visions = more NN than IR
A50322,R213827,A50322.headed.txt,a50322headed_Docuscope.html,A50322_1663_Machivaelssicdiscour,"Machivael's [sic] discourses upon the first decade of T. Livius, translated out of the Italian. To which is added his Prince. With some marginal animadversions noting and taxing his errors. By E.D.|Discorsi sopra la prima deca di Tito Livio. English.|Disc",MachiavellisDiscourseLivius,"Machiavelli, Niccoláo, 1469-1527.|Dacres, Edward,|Machiavelli, Niccoláo, 1469-1527.",1663,12°,,1663,London :,"printed for G. Bedell, and T. Collins, and are to be sold at their shop at the Middle-Temple Gate in Fleetstreet,",Livy -- Early works to 1800.|Political science -- Early works to 1800.,,prose,IS,INST,
A50725,R38046,A50725.headed.txt,a50725headed_Docuscope.html,A50725_1680_TheMerrywivesofWappi,"The Merry wives of Wapping, or, The Seaman's wives clubb each one her husbands absence doth bemoan, complaining they are forc'd to lye alone, and that they want what other women have, although they married are to seamen brave, at length being flasht with",MerryWivesOfWapping,,[168-?],1/2°,single-sided,1680,London :,"Printed for F. Coles, T. Vere, J. Wright, and J. Clarke ...,","Ballads, English.",,verse,NI,NARR,ballad
A51023,R32938,A51023.headed.txt,a51023headed_Docuscope.html,A51023_1700_MrGeorgeKeithsreason,"Mr. George Keiths reasons for renouncing Quakerism, and entering into communion with the Church of England with other remarkable occurrences that will be acceptable to all orthodox Christians, of every persuasion.",ReasonsForRenouncingQuakerism,"Keith, George, 1639?-1716.",1700,8°,,1700,London :,"Printed, and are to be sold by the booksellers of London and Westminister,",Church of England -- Controversial literature.|Society of Friends -- Controversial literature.,,prose,IR,ARG,
A51033,R221889,A51033.headed.txt,a51033headed_Docuscope.html,A51033_1697_Thewaytotruehonouran,"The way to true honour and happiness. A friendly address to all parents, masters of families, and landlords, the persons most capable to honour ... , and to gain honour to themselves, by beginning and carrying on a rational reformation. To which is added,",WayTrueHonourHappiness,"Mitchell, John, fl. 1697.",1697,8°,,1697,London :,"printed by I. Dawks, for B. Barker by the Fountain-Ta... at the foot of the Hay-Market, near Pell-Mell; sold by R. Baldwin in Warwick-lane,",Repentance -- Early works to 1800.|Christian life -- Early works to 1800.|Family -- Religious life -- Early works to 1800.|Women -- Conduct of life -- Early works to 1800.|Mother and child -- Religious aspects -- Early works to 1800.,,prose,IR,INST,
A51130,R7206,A51130.headed.txt,a51130headed_Docuscope.html,A51130_1666_Hollandsingratitudeo,"Hollands ingratitude, or, A serious expostulation with the Dutch shewing their ingratitude to this nation, and their inevitable ruine, without a speedy compliance and submission to His Sacred Majesty of Britain / by Charles Molloy of Lincolns-Inn, Gent.",HollandsIngratitude,"Molloy, Charles, 1646-1690.",1666,4°,,1666,London :,"Printed by T.J. for Fr. K. ...,","Albemarle, George Monck, -- Duke of, -- 1608-1670 -- Poetry.|Rupert, -- Prince, Count Palatine, -- 1619-1682 -- Poetry.|Great Britain -- Foreign relations -- Netherlands.|Netherlands -- Foreign relations -- Great Britain.",,mixed,IS?,ARG,mixed-genre
A51466,R214249,A51466.headed.txt,a51466headed_Docuscope.html,A51466_1700_Themostlamentableand,"The most lamentable and deplorable history of the two children in the wood containing the unhappy loves and lives of their parents, the treachery and barbarous villany of their unkle, the duel between the murdering ruffians, and the unhappy and deplorable",HistoryOfChildrenInTheWood,,[1700?],4°,,1700,London :,"printed by and for W.O. and sold by the booksellers,",Children -- England -- Early works to 1800.|God -- Wrath -- Early works to 1800.,,prose,NI,NARR,
A52111,R41773,A52111.headed.txt,a52111headed_Docuscope.html,A52111_1700_TheHuntsmansdelighto,"The Huntsman's delight, or, The Forresetr's [sic] pleasant pastime to the tune of, Amongst the leaves so green a, etc.",HuntsmansDelightBallad,"Martin, Joseph.",[1700?],1/2°,single-sided,1700,London :,"Printed for W.O. and sold by the booksellers,","Ballads, English -- 17th century.|Broadsides -- London (England) -- 17th century.",,verse,NI,NARR,
A52952,R180951,A52952.headed.txt,a52952headed_Docuscope.html,A52952_1642_AnewpetitiontotheKin,"A new petition to the Kings most Excellent Majesty the humble petition of the knights, gentry, free-holders, of the county of Yorke who have subscribed hereto : presented to His Majesty at Yorke, April 30, 1642, desiring a happy union betwixt the King and",CountyYorkePetitionToKing,,1642,1°,single-sided,1642,London :,"Printed for John Wright,","Charles -- I, -- King of England, -- 1600-1649.|Great Britain -- History -- Civil War, 1642-1649.",,prose,STA,STA,
A52991,R217826,A52991.headed.txt,a52991headed_Docuscope.html,A52991_1688_Anewsongofthemisfort,A new song of the misfortunes of an old whore and her brats.,NewSongOfOldWhore,,1688],1/2°,single-sided,1688,[London :,"s.n.,","Ballads, English -- 17th century.",,verse,NN,NARR,ballad about war with france
