TCP,ESTC
A02455,S120594
A02456,S119068
A02457,S118991
A02460,S119751
A02461,S117906
A02462,S118993
A02464,S103608
A02469,S112464
A02472,S117584
A02473,S105949
A02475,S105951
A02476,S106018
A02477,S106141
A02478,S106139
A02479,S103614
A02480,S105953
A02483,S103612
A02484,S120599
A02486,S103566
A02487,S103633
A02488,S103634
A02492,S117907
A02493,S103636
A02494,S105954
A02495,S106753
A02496,S121930
A02497,S103638
A02498,S118961
A02500,S117608
A02503,S105963
A02513,S118419
A02517,S118996
A02518,S103639
A02519,S118573
A02520,S103629
A02522,S103653
A02525,S122621
A02526,S103630
A02527,S103660
A02528,S103669
A02530,S119069
A02531,S103671
A02532,S103673
A02534,S103637
A02536,S4691
A02537,S116594
A02538,S119001
A02545,S103654
A02547,S122954
A02548,S119011
A02549,R210029
A02551,S103697
A02552,S118575
A02553,S103712
A02563,S117610
A02565,S103757
A02566,S103758
A02567,S120929
A02568,S106027
A02571,S116595
A02572,S100420
A02573,S100591
A02578,S119019
A02584,S103708
A02585,S2711
A02586,S103753
A02588,S122080
A02589,S103657
A02590,S115163
A02591,S103756
A02593,S106137
A02595,S113110
A02597,S105969
A02599,S100594
A02601,S109506
A02602,S119756
A02604,S105993
A02605,S103773
A02606,S105997
A02607,S4341
A02608,S120498
A02609,S2712
A02610,S103775
A02611,S103819
A02612,S120499
A02613,S103820
A02614,S103823
A02616,S3923
A02617,S103736
A02618,S103737
A02619,S103739
A02620,S110821
A02621,S100596
A02622,S118582
A02623,S119759
A02624,S103828
A02626,S103834
A02628,S115165
A02629,S103841
A02630,S103740
A02631,S4692
A02633,S100610
A02635,S115168
A02637,S112480
A02638,S103772
A02639,S103844
A02641,S120641
A02643,S117317
A02644,S103849
A02645,S4693
A02647,S103853
A02649,S103861
A02652,S103777
A02655,S106427
A02656,S112487
A02657,S106005
A02658,S110631
A02662,S119761
A02663,S112490
A02664,S106009
A02665,S118748
A02668,S122477
A02671,S119766
A02672,S112492
A02673,S103778
A02674,S103787
A02675,S119822
A02679,S116899
A02680,S119022
A02681,S116531
A02683,S119023
A02685,S116599
A02692,S103793
A02693,S103794
A02698,S116602
A02702,S120679
A02706,S120172
A02714,S103800
A02715,S103801
A02722,S105942
A02724,S118846
A02725,S116330
A02726,S103818
A02727,S116532
A02728,S121191
A02730,S116606
A02731,S112493
A02732,S122021
A02733,S2715
A02734,S117327
A02735,S117329
A02738,S110903
A02739,S113021
A02740,S116906
A02741,S103879
A02744,S114895
A02746,S114563
A02749,S104458
A02750,S120922
A02753,S103824
A02754,S100995
A02755,S103881
A02757,S103825
A02758,S119800
A02762,S103842
A02764,S118749
A02769,S103894
A02771,S100422
A02772,S110635
A02774,S106136
A02775,S103899
A02777,S106017
A02778,S115670
A02779,S103904
A02783,S103872
A02784,S112562
A02785,S116608
A02786,S103922
A02788,S100624
A02791,S103856
A02792,S112564
A02793,S112568
A02794,S106122
A02795,S112569
A02796,S118429
A02797,S119773
A02798,S118119
A02799,S118751
A02800,S106033
A02804,S103930
A02806,S103875
A02807,S114384
A02811,S109399
A02812,S106022
A02813,S112194
A02817,S106025
A02820,S109508
A02822,S103933
A02823,S103886
A02825,S110909
A02826,S119816
A02827,S106116
A02831,S112574
A02832,S111379
A02833,S118431
A02834,S103939
A02835,S116667
A02836,S106081
A02837,S103940
A02841,S103905
A02843,S122933
A02844,S103942
A02846,S103943
A02848,S103906
A02849,S122571
A02852,S2720
A02855,S103908
A02858,S122951
A02861,S103916
A02862,S116592
A02864,S122989
A02872,S100582
A02874,S103946
A02875,S116534
A02878,S117920
A02879,S112577
A02880,S118657
A02881,S112579
A02882,S109407
A02883,S113439
A02884,S112597
A02885,S3764
A02886,S100627
A02889,S3972
A02893,S103932
A02894,S115181
A02895,S100602
A02897,S106061
A02903,S118754
A02904,S2725
A02906,S109167
A02908,S119782
A02909,S3795
A02911,S109510
A02912,S116912
A02913,S117349
A02914,S118308
A02915,S4697
A02916,S102723
A02919,S118432
A02921,S103941
A02923,S5140
A02926,S116593
A02928,S103963
A02930,S111374
A02934,S111375
A02935,S116380
A02936,S103769
A02937,S109524
A02941,S109412
A02945,S118309
A02947,S100631
A02948,S3958
A02949,S115684
A02951,S119791
A02952,S108566
A02953,S119793
A02955,S112602
A02956,S103953
A02957,S112603
A02959,S100428
A02960,S118994
A02961,S121973
A02963,S119798
A02964,S108567
A02966,S115687
A02967,S113575
A02968,S117933
A02970,S113599
A02971,S112607
A02972,S115903
A02973,S116633
A02974,S108568
A02975,S112615
A02976,S108571
A02977,S117081
A02979,S103955
A02981,S103958
A02982,S116643
A02983,S114922
A02984,S120341
A02986,S119810
A02987,S4126
A02990,S122227
A02991,S116648
A02992,S112649
A02993,S119814
A02994,S103959
A02995,S121814
A02996,S103962
A02997,S122430
A03001,S103969
A03002,S106094
A03003,S92937
A03006,S116656
A03007,S119817
A03016,S103972
A03017,S103976
A03018,S103979
A03019,S103981
A03021,S103985
A03022,S122279
A03023,S118127
A03024,S115185
A03025,S2727
A03030,S122577
A03032,S118769
A03040,S112790
A03046,S103752
A03047,S106551
A03048,S106096
A03054,S122576
A03056,S107323
A03057,S103991
A03058,S122349
A03064,S100833
A03065,S119687
A03066,S119691
A03067,S120500
A03068,S119796
A03069,S103974
A03078,S2728
A03079,S118310
A03080,S104029
A03082,S116007
A03083,S112652
A03087,S103980
A03089,S108576
A03092,S103993
A03094,S104002
A03096,S104000
A03097,S106097
A03099,S115187
A03100,S108570
A03103,S2982
A03104,S113587
A03109,S115188
A03110,S119231
A03111,S104003
A03115,S119034
A03116,S104005
A03119,S116668
A03120,S104006
A03121,S108231
A03123,S118051
A03124,S117613
A03125,S106102
A03126,S109747
A03127,S119036
A03128,S108984
A03130,S117274
A03133,S118791
A03134,S104007
A03136,S104008
A03139,S104010
A03140,S114838
A03141,S119828
A03144,S104019
A03146,S104023
A03149,S104038
A03153,S3252
A03154,S1773
A03164,S121803
A03165,S3934
A03166,S3943
A03167,S118129
A03168,S106104
A03171,S119138
A03173,S117615
A03174,S117616
A03175,S106439
A03177,S109760
A03179,S112198
A03181,S114935
A03184,S106106
A03185,S106113
A03186,S3275
A03187,S3278
A03188,S114839
A03189,S104054
A03190,S104032
A03192,S104055
A03193,S104056
A03195,S104058
A03196,S104033
A03197,S106110
A03200,S114848
A03201,S104035
A03202,S120519
A03203,S123365
A03204,S106115
A03205,S104037
A03206,S119701
A03207,S122314
A03208,S106109
A03210,S114851
A03217,S106200
A03220,S117267
A03221,S1169
A03223,S104049
A03224,S106204
A03228,S106209
A03229,S106210
A03230,S106211
A03231,S115732
A03232,S100766
A03233,S104064
A03234,S106212
A03235,S106146
A03238,S118313
A03239,S104068
A03240,S104069
A03241,S104070
A03242,S104071
A03243,S100662
A03244,S106206
A03248,S104074
A03250,S119729
A03251,S106217
A03253,S104076
A03254,S114854
A03255,S104077
A03256,S118314
A03258,S104080
A03260,S118132
A03264,S100768
A03267,S116920
A03268,S118877
A03269,S119038
A03271,S120365
A03272,S119040
A03274,S115190
A03276,S117032
A03279,S120671
A03281,S119045
A03284,S100771
A03292,S116279
A03296,S112122
A03302,S116028
A03304,S116029
A03306,S119051
A03308,S116031
A03311,S116033
A03312,S104471
A03315,S119422
A03318,S109790
A03319,S106586
A03321,S100666
A03325,S117336
A03326,S106149
A03327,S4704
A03330,S106176
A03332,S114948
A03333,S116034
A03334,S104083
A03335,S118140
A03336,S104096
A03337,S104097
A03338,S122413
A03339,S104100
A03342,S119430
A03343,S122925
A03344,S115191
A03345,S104102
A03346,S104107
A03347,S116585
A03349,S108234
A03350,S113265
A03351,S114518
A03354,S119055
A03356,S117083
A03361,S106219
A03362,S122584
A03363,S117617
A03364,S118782
A03378,S120343
A03379,S100435
A03380,S104125
A03388,S104128
A03389,S106221
A03390,S115210
A03392,S116213
A03395,S118793
A03398,S100667
A03400,S122586
A03402,S104108
A03403,S118818
A03404,S119344
A03405,S122282
A03406,S114913
A03407,S118697
A03408,S104130
A03409,S104116
A03411,S103944
A03413,S104126
A03415,S100668
A03416,S104127
