TCP,text_name,component0,component1
A00789,A00789.headed.txt,-0.730263732,1.523828246
A00791,A00791.headed.txt,0.633137675,-0.655774486
A00792,A00792.headed.txt,-0.294425219,0.326465184
A00793,A00793.headed.txt,2.425438263,-0.163616964
A00794,A00794.headed.txt,0.850057211,-5.020733279
A00796,A00796.headed.txt,2.321434354,0.101815865
A00797,A00797.headed.txt,1.936741554,0.092318095
A00799,A00799.headed.txt,-1.060643795,2.770887759
A00800,A00800.headed.txt,-0.641603189,1.200383807
A00801,A00801.headed.txt,0.689446641,1.176584078
A00804,A00804.headed.txt,1.240434479,-5.871907339
A00808,A00808.headed.txt,-0.511880116,1.775974544
A00810,A00810.headed.txt,-1.988188832,1.127255369
A00816,A00816.headed.txt,-0.897332989,1.689139446
A00818,A00818.headed.txt,-1.137160456,0.483847632
A00819,A00819.headed.txt,0.057840503,1.033383521
A00823,A00823.headed.txt,-4.207340417,0.832377298
A00825,A00825.headed.txt,-3.497970171,1.169164126
A00826,A00826.headed.txt,-3.456782724,0.795708129
A00831,A00831.headed.txt,0.256547849,1.608191712
A00880,A00880.headed.txt,0.56343655,-1.126705327
A00883,A00883.headed.txt,-3.762790349,-0.341195619
A00884,A00884.headed.txt,-3.531518245,-0.517333333
A00887,A00887.headed.txt,3.916063628,-0.848121009
A00888,A00888.headed.txt,-1.969236581,0.45501175
A00895,A00895.headed.txt,-0.571108582,-1.980589951
A00901,A00901.headed.txt,2.372267126,0.852813866
A00908,A00908.headed.txt,1.264052863,-0.238511152
A00916,A00916.headed.txt,2.264846057,-1.342549821
A00918,A00918.headed.txt,1.920409832,0.913795086
A00919,A00919.headed.txt,0.352916039,-1.270541001
A00921,A00921.headed.txt,3.070587288,1.055202605
A00922,A00922.headed.txt,-1.091575656,-1.115474655
A00923,A00923.headed.txt,-2.5910445,-0.406178521
A00924,A00924.headed.txt,-0.379287037,-2.03621216
A00926,A00926.headed.txt,-2.866432911,0.8125545
A00927,A00927.headed.txt,-3.081360617,1.279336724
A00930,A00930.headed.txt,0.619501444,2.083046409
A00931,A00931.headed.txt,-0.058901277,0.606152597
A00932,A00932.headed.txt,-2.918988286,-0.061077147
A00933,A00933.headed.txt,-1.772484257,-4.398053321
A00935,A00935.headed.txt,-0.253023009,1.127525706
A00939,A00939.headed.txt,-1.242905785,-2.617597048
A00940,A00940.headed.txt,-0.71322313,1.823756844
A00941,A00941.headed.txt,-1.236495493,2.173186442
A00942,A00942.headed.txt,-3.645742562,2.1944522
A00943,A00943.headed.txt,-0.61508812,0.640324928
A00945,A00945.headed.txt,-0.855958836,0.519206257
A00946,A00946.headed.txt,-4.181889161,2.21260631
A00947,A00947.headed.txt,-0.838670428,-1.050230667
A00948,A00948.headed.txt,-4.877848711,-0.060153436
A00951,A00951.headed.txt,-0.804710403,0.424496467
A00954,A00954.headed.txt,-0.351659466,0.756958194
A00958,A00958.headed.txt,-3.562216818,1.773602387
A00959,A00959.headed.txt,-3.651642326,2.028085352
A00960,A00960.headed.txt,-4.133083015,2.271434958
A00962,A00962.headed.txt,-4.967647256,1.550654552
A00966,A00966.headed.txt,-4.596463023,1.847651042
A00967,A00967.headed.txt,-4.004647142,1.769898608
A00968,A00968.headed.txt,-3.731649811,2.515790458
A00969,A00969.headed.txt,-3.861326702,1.441099302
A00970,A00970.headed.txt,-2.905417485,0.123450102
A00972,A00972.headed.txt,-0.728756887,1.875891889
A00973,A00973.headed.txt,-4.701989071,0.966850685
A00975,A00975.headed.txt,-0.439758514,1.643987637
A00977,A00977.headed.txt,-5.586561439,-0.514382803
A00979,A00979.headed.txt,-5.151882828,0.969003355
A00980,A00980.headed.txt,-0.008765588,0.435656728
A00981,A00981.headed.txt,1.365805883,1.242762962
A00982,A00982.headed.txt,-0.328337263,0.336708819
A00983,A00983.headed.txt,-1.141973744,1.350215186
A00985,A00985.headed.txt,-2.779749311,-1.81639839
A00989,A00989.headed.txt,-2.628115254,1.364862031
A00990,A00990.headed.txt,-1.729308204,-1.69448432
A00991,A00991.headed.txt,-4.319238621,-1.526084431
A00993,A00993.headed.txt,-2.329562637,0.431457813
A00997,A00997.headed.txt,-1.85328661,0.256117571
A01001,A01001.headed.txt,-0.575274319,0.474037209
A01002,A01002.headed.txt,2.794346381,-1.192466723
A01003,A01003.headed.txt,-1.43001255,2.465156103
A01004,A01004.headed.txt,1.7854297,0.245858394
A01005,A01005.headed.txt,2.590052672,0.273196032
A01006,A01006.headed.txt,0.617221478,-0.236541247
A01007,A01007.headed.txt,0.981199601,0.572901098
A01008,A01008.headed.txt,0.362461583,-1.493762253
A01009,A01009.headed.txt,-0.691823682,0.399429162
A01010,A01010.headed.txt,1.512950364,0.440619517
A01011,A01011.headed.txt,1.088215326,0.868569281
A01012,A01012.headed.txt,0.137525959,0.20466483
A01013,A01013.headed.txt,0.608674061,0.490998668
A01014,A01014.headed.txt,-0.650623551,-0.206093624
A01017,A01017.headed.txt,-3.017098343,-2.881665023
A01019,A01019.headed.txt,-3.139721505,-0.754460978
A01020,A01020.headed.txt,-1.044911306,0.811783951
A01022,A01022.headed.txt,2.952935824,-0.817311005
A01023,A01023.headed.txt,0.014170559,-0.150369824
A01025,A01025.headed.txt,3.247079267,1.409077228
A01027,A01027.headed.txt,3.027471608,0.174143565
A01028,A01028.headed.txt,2.746366955,0.909988358
A01030,A01030.headed.txt,0.942156629,0.775113057
A01032,A01032.headed.txt,3.327189926,1.175808567
A01033,A01033.headed.txt,4.282160578,0.659575334
A01038,A01038.headed.txt,4.165589858,0.66345573
A01039,A01039.headed.txt,3.739326324,-0.042609467
A01041,A01041.headed.txt,0.793803042,1.181300205
A01042,A01042.headed.txt,-0.171426576,1.302325241
A01043,A01043.headed.txt,-2.439381229,0.07729034
A01044,A01044.headed.txt,-4.45490839,1.577615648
A01045,A01045.headed.txt,-0.146807551,-1.432376532
A01046,A01046.headed.txt,-3.316395961,1.441754933
A01047,A01047.headed.txt,-2.48376562,1.374902451
A01048,A01048.headed.txt,-2.888820021,2.333232697
A01049,A01049.headed.txt,-3.511139579,1.857592813
A01052,A01052.headed.txt,-3.222540003,1.562316563
A01053,A01053.headed.txt,0.148512644,1.494431048
A01055,A01055.headed.txt,-3.823267284,2.215010355
A01056,A01056.headed.txt,-3.409023261,2.386930871
A01057,A01057.headed.txt,-4.213485598,2.936215681
A01058,A01058.headed.txt,-4.203038389,0.489914
A01059,A01059.headed.txt,-2.98285229,2.304920565
A01062,A01062.headed.txt,-3.142000619,2.888295954
A01064,A01064.headed.txt,0.388027459,-0.581347302
