ngram,corpus frequency,document frequency,rank in corpus
achilles,78,3,448
woman's,77,32,449
takes,77,30,449
purse,77,24,449
princely,77,21,449
powers,77,26,449
poison,77,27,449
pleased,77,28,449
paper,77,24,449
moore,77,6,449
greatness,77,22,449
desires,77,28,449
cassius,77,2,449
wounds,76,21,450
vow,76,27,450
tent,76,18,450
rogue,76,18,450
prayers,76,29,450
nurse,76,20,450
moved,76,27,450
low,76,29,450
keeps,76,27,450
calls,76,30,450
awake,76,25,450
who's,75,24,451
whiles,75,28,451
whence,75,30,451
trouble,75,31,451
tear,75,30,451
taste,75,28,451
steal,75,27,451
quiet,75,27,451
prisoner,75,26,451
obey,75,28,451
manner,75,29,451
hanged,75,31,451
endure,75,29,451
drop,75,31,451
dark,75,28,451
burn,75,27,451
angelo,75,3,451
until,74,27,452
tongues,74,26,452
talbot,74,3,452
round,74,29,452
rise,74,26,452
received,74,27,452
nought,74,31,452
knowledge,74,27,452
jack,74,18,452
holds,74,31,452
fellows,74,29,452
drawn,74,29,452
bond,74,20,452
affection,74,28,452
timon,73,1,453
safety,73,30,453
roman,73,14,453
proof,73,27,453
owe,73,29,453
forgive,73,29,453
excuse,73,31,453
cursed,73,26,453
colour,73,30,453
cheer,73,25,453
buckingham,73,4,453
brain,73,24,453
bones,73,30,453
sometime,72,29,454
promised,72,33,454
precious,72,27,454
motion,72,31,454
malice,72,25,454
knock,72,22,454
heals,72,29,454
grows,72,29,454
goodly,72,24,454
caesars,72,8,454
blind,72,25,454
although,72,32,454
alack,72,20,454
thrice,71,28,455
suffolke,71,5,455
scarce,71,30,455
occasion,71,30,455
monster,71,19,455
jove,71,25,455
gloster,71,7,455
daughters,71,25,455
clock,71,26,455
bitter,71,26,455
army,71,22,455
approach,71,24,455
wrongs,70,27,456
twixt,70,26,456
terms,70,27,456
seven,70,25,456
proceed,70,29,456
making,70,28,456
liberty,70,26,456
hart,70,28,456
forbid,70,31,456
fain,70,27,456
blows,70,25,456
beast,70,29,456
traitors,69,24,457
friar,69,6,457
falstaff,69,5,457
doing,69,33,457
dispatch,69,30,457
cunning,69,27,457
christian,69,20,457
cheeks,69,24,457
view,68,28,458
used,68,30,458
towards,68,25,458
rude,68,26,458
neck,68,31,458
lovers,68,18,458
lo,68,29,458
legs,68,31,458
few,68,26,458
embrace,68,32,458
delivered,68,27,458
choice,68,23,458
wretched,67,24,459
twice,67,29,459
tower,67,11,459
swords,67,24,459
struck,67,27,459
shadow,67,27,459
ones,67,27,459
meat,67,23,459
margaret,67,5,459
manners,67,27,459
london,67,10,459
guilty,67,22,459
forward,67,27,459
fill,67,29,459
fears,67,24,459
due,67,22,459
antony,67,2,459
advantage,67,27,459
yonder,66,26,460
simple,66,25,460
several,66,30,460
rough,66,28,460
melancholy,66,25,460
humble,66,27,460
foes,66,22,460
fat,66,21,460
effect,66,30,460
cried,66,28,460
creature,66,30,460
courage,66,23,460
cheek,66,24,460
wound,65,24,461
ways,65,26,461
third,65,27,461
steel,65,28,461
sort,65,24,461
somerset,65,3,461
private,65,31,461
madness,65,22,461
large,65,27,461
host,65,17,461
happily,65,26,461
fought,65,22,461
doctor,65,10,461
deserve,65,25,461
always,65,30,461
wealth,64,23,462
throne,64,24,462
six,64,28,462
saint,64,21,462
request,64,27,462
reasons,64,29,462
monstrous,64,25,462
loud,64,26,462
lancaster,64,7,462
idle,64,29,462
fury,64,28,462
dry,64,28,462
defend,64,22,462
affairs,64,27,462
wicked,63,23,463
vows,63,27,463
thief,63,22,463
spent,63,27,463
seal,63,29,463
pure,63,31,463
proper,63,28,463
oaths,63,24,463
nose,63,27,463
knee,63,22,463
graces,63,25,463
fame,63,20,463
englands,63,8,463
drunk,63,24,463
dolphin,63,7,463
cross,63,26,463
catch,63,27,463
armed,63,26,463
vile,62,22,464
secret,62,27,464
prepare,62,24,464
mr,62,7,464
jew,62,7,464
horses,62,22,464
food,62,26,464
finger,62,29,464
fail,62,29,464
depart,62,27,464
cruel,62,25,464
crowns,62,19,464
church,62,16,464
chain,62,13,464
afraid,62,24,464
supper,61,26,465
subjects,61,20,465
study,61,24,465
story,61,24,465
stars,61,26,465
spend,61,24,465
remembrance,61,23,465
red,61,27,465
quoth,61,19,465
niece,61,11,465
kneel,61,20,465
ford,61,1,465
foe,61,21,465
easy,61,30,465
courtesy,61,27,465
claim,61,18,465
brow,61,28,465
abroad,61,28,465
walls,60,21,466
twill,60,27,466
swift,60,27,466
sharpe,60,29,466
mere,60,25,466
meaning,60,30,466
le,60,11,466
instant,60,26,466
iago,60,1,466
humbly,60,23,466
gift,60,26,466
follows,60,27,466
countenance,60,22,466
bright,60,26,466
becomes,60,27,466
bastard,60,24,466
aiax,60,7,466
valentine,59,5,467
spare,59,29,467
sooner,59,26,467
silver,59,24,467
remain,59,20,467
maine,59,21,467
leisure,59,23,467
hero,59,3,467
evil,59,24,467
drum,59,20,467
dreadful,59,24,467
desperate,59,25,467
demand,59,28,467
dearest,59,23,467
clifford,59,3,467
beyond,59,23,467
beggar,59,25,467
argument,59,23,467
anne,59,6,467
able,59,25,467
y,58,21,468
widow,58,18,468
was't,58,24,468
wanton,58,29,468
wait,58,26,468
tune,58,22,468
stones,58,24,468
spoken,58,27,468
repent,58,25,468
princess,58,15,468
pain,58,25,468
offend,58,28,468
natural,58,24,468
lawful,58,25,468
husbands,58,21,468
hit,58,25,468
griefs,58,27,468
devise,58,23,468
bullingbrooke,58,5,468
broken,58,25,468
bids,58,26,468
virtues,57,25,469
stolen,57,27,469
remedy,57,24,469
post,57,29,469
possible,57,24,469
nine,57,23,469
lands,57,21,469
happiness,57,24,469
greatest,57,27,469
forsworn,57,18,469
discourse,57,23,469
deserved,57,23,469
clouds,57,20,469
clear,57,25,469
aside,57,28,469
anthonio,57,5,469
wench,56,19,470
weeping,56,22,470
showed,56,30,470
rascal,56,19,470
natures,56,25,470
minds,56,25,470
mend,56,25,470
heavenly,56,27,470
hail,56,19,470
ease,56,26,470
dust,56,26,470
cries,56,29,470
condition,56,26,470
bodies,56,23,470
warlike,55,20,471
visit,55,25,471
undone,55,23,471
sirrah,55,21,471
shut,55,24,471
saying,55,27,471
sack,55,12,471
protheus,55,1,471
paid,55,21,471
morn,55,27,471
led,55,24,471
leaves,55,27,471
join,55,22,471
gallant,55,24,471
freely,55,23,471
former,55,25,471
devils,55,25,471
denied,55,26,471
crowned,55,22,471
answered,55,27,471
amongst,55,20,471
wronged,54,22,472
wretch,54,25,472
wee'le,54,12,472
wake,54,22,472
thrive,54,24,472
teeth,54,31,472
suit,54,25,472
spring,54,25,472
single,54,24,472
served,54,26,472
rose,54,20,472
returned,54,26,472
rare,54,19,472
priest,54,16,472
pound,54,20,472
names,54,24,472
messenger,54,23,472
hopes,54,25,472
flight,54,22,472
dukes,54,19,472
dance,54,21,472
charles,54,7,472
betwixt,54,18,472
authority,54,20,472
